Keyboard Maestro macro name,Spotify Playlist Name
01)Rappers - Male (<200K),A&R - Unsigned Male Rappers to Track/Sign 
08)Unsigned R&B,A&R - Unsigned R&B Singers to Sign / Track/__\
05)MAJOR Rappers  - Male,A&R - SIGNED Rappers to Track/__|
03)Rappers - Female (<200K),A&R - Unsigned Female Rappers to Track/Sign 
06)MAJOR Rappers - Female,A&R - SIGNED Rappers to Track - Female
09)MAJOR R&B,A&R - SIGNED R&B Singers to Track 
02)Rappers - Male (200K - 500k),A&R - Rappers to Track - Male (200K - 500k)
