Dashboard Name,Spotify Playlist Name,Number of Duplicates,Playlist ID 1,Playlist URL 1,Playlist ID 2,Playlist URL 2
Rappers - Male (200K - 500k),A&R - Rappers to Track - Male (200K - 500k) [2026],2,0s18ZTUYR2bgO8lgIQ1z3W,https://open.spotify.com/playlist/0s18ZTUYR2bgO8lgIQ1z3W,528TT5OxD5aXy0FbIGivm4,https://open.spotify.com/playlist/528TT5OxD5aXy0FbIGivm4
MAJOR Rappers - Male,A&R - SIGNED Rappers to Track [2026],2,0y22gj9CjSOk6kiJX48f3e,https://open.spotify.com/playlist/0y22gj9CjSOk6kiJX48f3e,5AuONqT63DhXOVKxdtFXow,https://open.spotify.com/playlist/5AuONqT63DhXOVKxdtFXow
MAJOR Rappers - Female,A&R - SIGNED Rappers to Track - Female [2026],2,444aXdKo8VqB5sGcJ19PRi,https://open.spotify.com/playlist/444aXdKo8VqB5sGcJ19PRi,7yJ1ZGwYW3TfzN6oBZmWsd,https://open.spotify.com/playlist/7yJ1ZGwYW3TfzN6oBZmWsd
Unsigned R&B,A&R - Unsigned R&B Singers to Track [2026],2,1Ab0pjOxVGlzz6OsFFSqqZ,https://open.spotify.com/playlist/1Ab0pjOxVGlzz6OsFFSqqZ,0O1kshdjceruOCIfRYYZBa,https://open.spotify.com/playlist/0O1kshdjceruOCIfRYYZBa
MAJOR R&B,A&R - SIGNED R&B Singers to Track [2026],2,0CUei9vOTuNvFdFbutaDtH,https://open.spotify.com/playlist/0CUei9vOTuNvFdFbutaDtH,0u3S5gh8gSOrOT1NMP94dw,https://open.spotify.com/playlist/0u3S5gh8gSOrOT1NMP94dw
