Dashboard Name,Spotify Playlist Name,Playlist URL
Rappers - Male (200K - 500k),A&R - Rappers to Track - Male (200K - 500k) [2026],https://open.spotify.com/playlist/0s18ZTUYR2bgO8lgIQ1z3W?si=a1fe7fcba780427a
MAJOR Rappers - Male,A&R - SIGNED Rappers to Track [2026],https://open.spotify.com/playlist/0y22gj9CjSOk6kiJX48f3e?si=e43a0b280ba44b3f
MAJOR Rappers - Female,A&R - SIGNED Rappers to Track - Female [2026],https://open.spotify.com/playlist/444aXdKo8VqB5sGcJ19PRi?si=fbc77c1906ce4440
Unsigned R&B,A&R - Unsigned R&B Singers to Track [2026],https://open.spotify.com/playlist/1Ab0pjOxVGlzz6OsFFSqqZ?si=a755b8f5270a438b
MAJOR R&B,A&R - SIGNED R&B Singers to Track [2026],https://open.spotify.com/playlist/0u3S5gh8gSOrOT1NMP94dw?si=515d3cb37de9482b
