Keyboard Maestro macro name,Spotify Playlist Name
01)Male Rappers (<200K),🎧 Queue - Unsigned (<200K listeners)
02)Unsigned R&B,🎧 Queue - Unsigned R&B (<200K listeners)
04)MAJOR Rappers,🎧 Queue - SIGNED Rap (Major Labels)
05)MAJOR R&B,🎧 Queue - SIGNED R&B (Major Labels)
07)Female Rappers (<200K),🎧 Queue - Female Rappers (<200K)
08)Pack Hour,🎧 Queue - Pack Hour
01)Male Rappers (200K - 500k),🎧 Queue - Male Rappers (200K - 500k)
07)Female Rappers (200K - 500k),🎧  Queue - Female Rappers (200K - 500k)
